법정동코드,법정동명,폐지여부
4215000000,강원특별자치도 강릉시,존재
4217000000,강원특별자치도 동해시,존재
4223000000,강원특별자치도 삼척시,존재
4221000000,강원특별자치도 속초시,존재
4213000000,강원특별자치도 원주시,존재
4277000000,강원특별자치도 정선군,존재
4211000000,강원특별자치도 춘천시,존재
4219000000,강원특별자치도 태백시,존재
4276000000,강원특별자치도 평창군,존재
4272000000,강원특별자치도 홍천군,존재
4273000000,강원특별자치도 횡성군,존재
4182000000,경기도 가평군,존재
4128000000,경기도 고양시,존재
4129000000,경기도 과천시,존재
4121000000,경기도 광명시,존재
4161000000,경기도 광주시,존재
4131000000,경기도 구리시,존재
4141000000,경기도 군포시,존재
4157000000,경기도 김포시,존재
4136000000,경기도 남양주시,존재
4125000000,경기도 동두천시,존재
4119000000,경기도 부천시,존재
4113000000,경기도 성남시,존재
4111000000,경기도 수원시,존재
4139000000,경기도 시흥시,존재
4127000000,경기도 안산시,존재
4155000000,경기도 안성시,존재
4117000000,경기도 안양시,존재
4117100000,경기도 안양시만안구,존재
4163000000,경기도 양주시,존재
4173000000,경기도 양평군,존재
4167000000,경기도 여주시,존재
4137000000,경기도 오산시,존재
4146000000,경기도 용인시,존재
4143000000,경기도 의왕시,존재
4115000000,경기도 의정부시,존재
4150000000,경기도 이천시,존재
4148000000,경기도 파주시,존재
4122000000,경기도 평택시,존재
4165000000,경기도 포천시,존재
4145000000,경기도 하남시,존재
4159000000,경기도 화성시,존재
4831000000,경상남도 거제시,존재
4825000000,경상남도 김해시,존재
4827000000,경상남도 밀양시,존재
4824000000,경상남도 사천시,존재
4833000000,경상남도 양산시,존재
4817000000,경상남도 진주시,존재
4812000000,경상남도 창원시,존재
4822000000,경상남도 통영시,존재
4729000000,경상북도 경산시,존재
4713000000,경상북도 경주시,존재
4719000000,경상북도 구미시,존재
4715000000,경상북도 김천시,존재
4725000000,경상북도 상주시,존재
4717000000,경상북도 안동시,존재
4721000000,경상북도 영주시,존재
4723000000,경상북도 영천시,존재
4711000000,경상북도 포항시,존재
2920000000,광주광역시 광산구,존재
2915500000,광주광역시 남구,존재
2911000000,광주광역시 동구,존재
2917000000,광주광역시 북구,존재
2914000000,광주광역시 서구,존재
2720000000,대구광역시 남구,존재
2729000000,대구광역시 달서구,존재
2771000000,대구광역시 달성군,존재
