match_id,name,apartment_name,declared_eok,estimated_eok,gap_pct,match_method,match_confidence,original_detail,action
1296,"안상훈","현대아파트",22.0,9.4,-57.5,fuzzy_name,0.7,"서울특별시 강남구 압구정동 현대아파트 건물 163.67㎡ 중90.02㎡",""
1347,"김미애","아시아선수촌아파트",7.4,3.3,-55.4,fuzzy_name,0.7,"부산광역시 해운대구 반여동 아시아선수촌아파트 건물118.73㎡",""
1287,"박덕흠","아이파크",30.9,16.5,-46.6,fuzzy_name,0.7,"서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물203.12㎡ 중 101.56㎡",""
1437,"진성준","등촌동성아파트",5.8,3.5,-39.7,exact,0.9,"서울특별시 강서구 등촌동 등촌동성아파트 건물 134.94㎡중 67.47㎡",""
1294,"안도걸","개포자이",11.0,7.0,-36.1,exact,0.9,"서울특별시 강남구 개포동 개포자이 프레지던스 건물84.59㎡ 중 42.29㎡",""
1457,"박충권","서초동(면적매칭)",18.0,11.9,-33.7,manual_api_search,0.6,"서울특별시 서초구 서초동 건물 79.47㎡ 중 47.68㎡ (건물 총면적 79.47㎡ 증가, 지분면적 47.68㎡ 증가)",""
1302,"최기상","목련타운아파트",7.4,5.2,-29.1,dong_area,0.5,"서울특별시 강남구 일원동 목련타운아파트 건물 99.80㎡중 49.90㎡",""
1429,"진종오","개포주공아파트",8.2,5.8,-29.0,dong_area,0.5,"서울특별시 강남구 개포동 개포주공아파트 건물 73.02㎡중 36.51㎡",""
1409,"임종득","로이파크",5.3,3.8,-28.8,dong_area,0.5,"서울특별시 동작구 사당동 래미안 로이파크 건물 84.98㎡중 42.49㎡",""
1391,"서범수","목동신시가지아파트4단지",18.2,14.0,-23.2,dong_area,0.5,"서울특별시 양천구 목동 목동신시가지아파트4단지 건물122.91㎡",""
1322,"김예지","보라매두산위브",11.8,9.3,-21.6,fuzzy_name,0.7,"서울특별시 영등포구 신길동 보라매두산위브 건물136.74㎡ (건물 136.74㎡ 증가)",""
1366,"김주영","롯데캐슬아파트",4.5,3.6,-19.8,dong_area,0.5,"서울특별시 강서구 염창동 롯데캐슬아파트 건물 134.57㎡중 67.29㎡",""
1334,"김남희","인왕산아이파크",6.8,5.8,-14.8,fuzzy_name,0.7,"서울특별시 종로구 무악동 인왕산아이파크 건물 114.93㎡중 57.47㎡",""
1328,"김현정","텐즈힐",5.5,4.7,-14.7,dong_area,0.5,"서울특별시 성동구 하왕십리동 텐즈힐 건물 84.88㎡ 중42.44㎡",""
1268,"한기호","서초그랑자이",18.1,15.5,-14.3,fuzzy_name,0.7,"서울특별시 서초구 서초동 서초그랑자이 건물 119.42㎡ 중71.66㎡",""
1407,"이양수","토평마을이편한세상아파트",5.5,5.0,-10.6,dong_area,0.5,"경기도 구리시 토평동 토평마을이편한세상아파트 건물84.59㎡",""
1361,"박주민","녹번역e편한세상캐슬",6.8,6.2,-8.5,fuzzy_name,0.7,"서울특별시 은평구 응암동 녹번역e편한세상캐슬 건물99.76㎡ 중 49.88㎡",""
1325,"김건","래미안옥수리버젠",8.8,8.5,-3.4,fuzzy_name,0.7,"서울특별시 성동구 옥수동 래미안옥수리버젠 건물134.00㎡ 중 67.00㎡",""
1411,"조정훈","이수역리가아파트",6.9,6.9,-0.2,fuzzy_name,0.7,"서울특별시 동작구 사당동 이수역리가아파트 건물 84.96㎡중 42.48㎡",""
