id,name,position,current_party,corrected_party
P1b1438b,"강경숙","국회의원","국회",""
P43f97fb,"강명구","국회의원","국회",""
P36408bd,"고민정","국회의원","국회",""
Pc1a40ed,"곽현","수석비서관","국회",""
P094fd72,"곽현준","수석전문위원","국회",""
P85766e6,"권영세","국회의원","국회",""
P4385bd2,"권영진","국회의원","국회",""
P8078353,"권칠승","국회의원","국회",""
Pe675720,"권향엽","국회의원","국회",""
Pde639f7,"김교흥","국회의원","국회",""
P651f33b,"김기웅","국회의원","국회",""
P75fb1ca,"김남근","국회의원","국회",""
P14557f3,"김대식","국회의원","국회",""
P111650a,"김동아","국회의원","국회",""
P6880fb9,"김민기","국회사무총장","국회",""
P43488ab,"김민전","국회의원","국회",""
Pea3d942,"김병주","국회의원","국회",""
Pf82afad,"김상수","수석전문위원","국회",""
P2f36e13,"김상욱","국회의원","국회",""
P7365e84,"김석기","국회의원","국회",""
Pfe0435a,"김선교","국회의원","국회",""
P33413e6,"김선민","국회의원","국회",""
P340ebd6,"김성원","국회의원","국회",""
P0aa0a4a,"김소희","국회의원","국회",""
P399adf6,"김승수","국회의원","국회",""
P360bf7f,"김승원","국회의원","국회",""
P6571df3,"김영진","국회의원","국회",""
Pcf9bd33,"김영환","국회의원","국회",""
Pdcfccf9,"김용만","국회의원","국회",""
Pe931007,"김용민","국회의원","국회",""
P0aae543,"김우영","국회의원","국회",""
Pf653f0e,"김은혜","국회의원","국회",""
Pa358186,"김장겸","국회의원","국회",""
P9cda32d,"김재섭","국회의원","국회",""
Pf03311e,"김종민","국회의원","국회",""
P415d28b,"김종수","정책연구위원","국회",""
Pfc7503e,"김준혁","국회의원","국회",""
Pa64d22e,"김준형","국회의원","국회",""
P287198a,"김철빈","정책연구위원","국회",""
Pc72bc24,"김태선","국회의원","국회",""
Pc00c80b,"김현","국회의원","국회",""
P3c73d0b,"김형동","국회의원","국회",""
Pf3f4f43,"남인순","국회의원","국회",""
P7ca26f1,"맹성규","국회의원","국회",""
Peb79a03,"모경종","국회의원","국회",""
P2367291,"문금주","국회의원","국회",""
Pe31f34f,"문대림","국회의원","국회",""
P53f5635,"문진석","국회의원","국회",""
P7da82ec,"민형배","국회의원","국회",""
P08d2805,"박균택","국회의원","국회",""
P157e042,"박범계","국회의원","국회",""
P0698232,"박상혁","국회의원","국회",""
P6a4b47d,"박선원","국회의원","국회",""
Pb416599,"박성민","국회의원","국회",""
P4d632db,"박수민","국회의원","국회",""
P461a51d,"박수영","국회의원","국회",""
Pec3208c,"박수현","국회의원","국회",""
P73c1cd6,"박용갑","국회의원","국회",""
P365a8ce,"박은정","국회의원","국회",""
Pa80fca9,"박재유","수석전문위원","국회",""
Pbbf529f,"박정","국회의원","국회",""
P16309fa,"박정하","국회의원","국회",""
Pa702f42,"박정훈","국회의원","국회",""
Pc5bffbc,"박지혜","국회의원","국회",""
P42198be,"박찬대","국회의원","국회",""
Pbc567a8,"박철호","관리관","국회",""
Pf0ec7ef,"박태형","사무차장","국회",""
Pae5f74f,"박희석","수석전문위원","국회",""
P704a332,"박희승","국회의원","국회",""
Pc9bd776,"배현진","국회의원","국회",""
Pd2270ac,"백선희","국회의원","국회",""
P0ffc23b,"백승아","국회의원","국회",""
Pd0543f5,"백혜련","국회의원","국회",""
Pd6ea83f,"복기왕","국회의원","국회",""
P1b861c9,"부승찬","국회의원","국회",""
Pc5ef66f,"서미화","국회의원","국회",""
P80da261,"서영석","국회의원","국회",""
P6b5f4c9,"서왕진","국회의원","국회",""
P6e4e412,"서지영","국회의원","국회",""
P1a31f73,"서천호","국회의원","국회",""
P054d574,"손명수","국회의원","국회",""
P1bc55f3,"손솔","국회의원","국회",""
Pf7071be,"송석준","국회의원","국회",""
P2de5839,"송수환","수석전문위원","국회",""
Pb113879,"송옥주","국회의원","국회",""
P9fff05f,"송재봉","국회의원","국회",""
Pc9d4582,"신동욱","국회의원","국회",""
P681c2fd,"신장식","국회의원","국회",""
P4817525,"신정훈","국회의원","국회",""
Pfbfb43a,"신항진","수석전문위원","국회",""
P21b78c2,"심정희","수석전문위원","국회",""
Pdf5e285,"안도걸","국회의원","국회",""
Pa71206a,"안호영","국회의원","국회",""
P4911a91,"어기구","국회의원","국회",""
Pb3073fe,"엄태영","국회의원","국회",""
P7a3a7f4,"염태영","국회의원","국회",""
Pbb285fb,"오세희","국회의원","국회",""
Pefad21e,"용혜인","국회의원","국회",""
P7f21987,"우재준","국회의원","국회",""
P0fdd30b,"윤종군","국회의원","국회",""
P0d4b034,"윤종오","국회의원","국회",""
Pc5236b7,"윤준병","국회의원","국회",""
Pac3d9c9,"윤한홍","국회의원","국회",""
P0408ecc,"이강일","국회의원","국회",""
Pef8fa3c,"이개호","국회의원","국회",""
Pb32cd36,"이건태","국회의원","국회",""
P32ffffb,"이광희","국회의원","국회",""
Pfb9aa04,"이기헌","국회의원","국회",""
P12c43d0,"이달희","국회의원","국회",""
P0ce38fb,"이상식","국회의원","국회",""
P0762479,"이상휘","국회의원","국회",""
Pd0528ea,"이성권","국회의원","국회",""
P712fa41,"이수진","국회의원","국회",""
P440b399,"이신우","수석전문위원","국회",""
P4944b14,"이옥순","수석전문위원","국회",""
Pdc9194b,"이용우","국회의원","국회",""
P4d78659,"이원정","수석비서관","국회",""
P9115d1f,"이원택","국회의원","국회",""
Pe316657,"이재강","국회의원","국회",""
P049e624,"이재관","국회의원","국회",""
Pe6752c4,"이재정","국회의원","국회",""
P69ce7b1,"이정문","국회의원","국회",""
P4de6780,"이정헌","국회의원","국회",""
Pd5db5cc,"이종욱","국회의원","국회",""
P0f0f634,"이주희","국회의원","국회",""
P755713e,"이준석","국회의원","국회",""
Pda4678e,"이춘석","국회의원","국회",""
P3e6d821,"이해민","국회의원","국회",""
P5b5213f,"임미애","국회의원","국회",""
P2072815,"임오경","국회의원","국회",""
P527b0b4,"장경태","국회의원","국회",""
P4373684,"장종태","국회의원","국회",""
Pe83bd4f,"장지원","법제실장","국회",""
P2b21e89,"전용기","국회의원","국회",""
Pad63ed0,"전재수","국회의원","국회",""
Pb62fbfc,"전재현","수석비서관","국회",""
P35df5c0,"전진숙","국회의원","국회",""
Pbd5cdb2,"정동만","국회의원","국회",""
P32b1054,"정명호","수석전문위원","국회",""
Pb0f5fd8,"정성국","국회의원","국회",""
P794dc06,"정연욱","국회의원","국회",""
Pf46655c,"정의찬","정책연구위원","국회",""
P1445fa9,"정준호","국회의원","국회",""
P3f111e2,"정진욱","국회의원","국회",""
Pea289c4,"정춘생","국회의원","국회",""
P65eddec,"정혜경","국회의원","국회",""
Pb2bab69,"정희용","국회의원","국회",""
P82e0f6f,"조계원","국회의원","국회",""
P941495c,"조오섭","의장비서실장","국회",""
Pf1aa250,"조인철","국회의원","국회",""
P46fc635,"조정식","국회의원","국회",""
P4d48574,"조지연","국회의원","국회",""
P6408292,"주진우","국회의원","국회",""
Pfede54f,"진선미","국회의원","국회",""
Pe28b104,"진선희","입법차장","국회",""
Pf5d647f,"진성준","국회의원","국회",""
Pe3509a0,"차규근","국회의원","국회",""
Paf4bab2,"차지호","국회의원","국회",""
Pbb29466,"채현일","국회의원","국회",""
P361ba06,"천하람","국회의원","국회",""
P8834979,"최기상","국회의원","국회",""
P1ce21b9,"최민희","국회의원","국회",""
Paabff9e,"최병권","수석전문위원","국회",""
P4de9f2d,"최용훈","수석전문위원","국회",""
Pfc040ad,"최혁진","국회의원","국회",""
Pfd1ccb5,"최형두","국회의원","국회",""
Pcd9f7dd,"한민수","국회의원","국회",""
Pa9882a6,"한병도","국회의원","국회",""
P41e2883,"한정애","국회의원","국회",""
Pad37ec6,"한준호","국회의원","국회",""
P3ad4005,"한창민","국회의원","국회",""
P873f162,"허병조","법률정보실장","국회",""
Pcd17f25,"허성무","국회의원","국회",""
P4cd6e7f,"허영","국회의원","국회",""
P05cb629,"현은희","의회정보실장","국회",""
Pd315152,"홍지숙","정책연구위원","국회",""
Pda80781,"황희","국회의원","국회",""
