"의원명","직위","아파트���","위치","면적_sqm","신고가_억","실거래추정_억","괴리율","거래기준일","매칭방법"
"고동진","국회의원","한남더힐","서울 용산구 한남동",240.2,81.8,175.0,113.9,2025.01.04,exact
"박성훈","국회의원","한남더힐",,243.2,56.0,92.2,64.7,2025.03,manual_api_search
"정점식","국회의원","반포자이아파트","서울 서초구 반포동",194.7,39.9,59.5,49.3,2025.01.21,dong_area
"이헌승","국회의원","래미안원베일리","서울 서초구 반포동",102.0,39.5,74.8,89.5,2025.01.11,exact
"서명옥","국회의원","한양아파트","서울 강남구 압구정동",147.4,36.5,67.0,83.8,2025.01.21,dong_area
"유용원","국회의원","반포센트럴자이","서울 서초구 잠원동",98.9,32.9,54.5,65.5,2025.02.20,fuzzy_name
"박덕흠","국회의원","아이파크","서울 강남구 삼성동",203.1,30.9,16.5,-46.6,2025.01.23,fuzzy_name
"주호영","국회부의장","반포자이(추정)",,132.2,28.4,29.6,4.2,2025.03,manual_api_search
"유상범","국회의원","반포써밋","서울 서초구 반포동",106.5,27.1,42.0,55.1,2025.01.24,exact
"김한규","국회의원","한보미도맨션2","서울 강남구 대치동",126.3,25.0,43.9,75.3,2025.02.20,exact
"김윤","국회의원","삼풍아파트","서울 서초구 서초동",130.2,24.9,39.8,60.1,2025.01.13,fuzzy_name
"박지원","국회의원","한양아파트","서울 영등포구 여의도동",192.7,23.4,39.5,69.1,2025.03.20,exact
"서명옥","국회의원","더샵스타시티","서울 광진구 자양동",193.6,23.1,30.0,30.0,2025.01.22,fuzzy_name
"안상훈","국회의원","현대아파트","서울 강남구 압구정동",163.7,22.0,9.4,-57.5,2025.01.04,fuzzy_name
"황정근","국회도서관장","삼성래미안아파트","서울 강남구 도곡동",122.8,21.8,34.5,58.4,2025.01.20,exact
"윤상현","국회의원","우성3차아파트","서울 강남구 개포동",133.5,21.1,35.0,65.5,2025.02.23,dong_area
"이언주","국회의원","신반포2",,68.9,21.1,21.8,3.3,2025.03,manual_api_search
"김용태","국회의원","리센츠(추정)",,85.0,20.5,26.6,29.8,2025.03,manual_api_search
"전현희","국회의원","래미안서초에스티지에스","서울 서초구 서초동",84.8,20.4,31.5,54.0,2025.01.11,exact
"조배숙","국회의원","아크로비스타","서울 서초구 서초동",139.0,19.0,32.8,72.5,2025.01.22,fuzzy_name
"윤후덕","국회의원","여의도시범아파트","서울 영등포구 여의도동",118.1,18.9,50.0,165.1,2025.01.22,dong_area
"배준영","국회의원","시범",,118.1,18.9,26.5,40.4,2025.03,manual_api_search
"서범수","국회의원","목동신시가지아파트4단지","서울 양천구 목동",122.9,18.2,14.0,-23.2,2025.02.21,dong_area
"한기호","국회의원","서초그랑자이","서울 서초구 서초동",119.4,18.1,15.5,-14.3,2025.01.10,fuzzy_name
"박충권","국회의원","서초동(면적매칭)",,79.5,18.0,11.9,-33.7,2025.03,manual_api_search
"곽상언","국회의원","메세나폴리스","서울 마포구 서교동",149.0,17.9,26.5,47.8,2025.01.07,exact
