asset_id,politician_id,의원명,정당,관계,신고내용,신고가_억,실거래추정_억,아파트명_정정,거래일,출처_메모
5100,P7f61ae4,최수진,국민의힘,본인,경기도 성남시 분당구 정자동 아이파크분당1 건물172.62㎡,14.8,,,,
1600,P08d2805,박균택,국회,본인,서울특별시 강남구 일원동 건물 84.71㎡ 중 50.82㎡,12.5,,,,
2668,P054d574,손명수,국회,본인,서울특별시 송파구 오금동 현대2-4차 건물 84.98㎡,12.0,,,,
3036,P32933ca,양부남,더불어민주당,배우자,광주광역시 남구 봉선동 한국아델리움 건물 155.82㎡,10.8,,,,
2821,Pc9d4582,신동욱,국회,본인,서울특별시 용산구 이촌동 건물 135.87㎡ 중 95.11㎡,10.1,,,,
5504,Pf82afad,김상수,국회,본인,서울특별시 송파구 잠실동 리센츠아파트 건물 85.00㎡ 중42.50㎡,9.4,,,,
5507,Pf82afad,김상수,국회,배우자,서울특별시 송파구 잠실동 리센츠아파트 건물 85.00㎡ 중42.50㎡,9.4,,,,
1603,P08d2805,박균택,국회,배우자,서울특별시 강남구 일원동 건물 84.71㎡ 중 33.88㎡,8.4,,,,
3818,P3b45a5a,이인선,더불어민주당,배우자,대구광역시 수성구 수성동3가 수성 코오롱 하늘채 건물149.81㎡,8.3,,,,
3091,P7a3a7f4,염태영,국회,배우자,경기도 수원시 권선구 권선동 수원아이파크시티2단지 건물123.60㎡,8.0,,,,
937,Pe931007,김용민,국회,배우자,경기도 남양주시 다산동 플루리움 건물 162.45㎡ (건물162.45㎡ 증가),8.0,,,,
2561,P6e4e412,서지영,국회,본인,서울특별시 송파구 장지동 건물 84.93㎡,7.9,,,,
5503,Pf82afad,김상수,국회,본인,서울특별시 송파구 신천동 장미아파트 건물 82.45㎡ 중41.23㎡,7.8,,,,
5506,Pf82afad,김상수,국회,배우자,서울특별시 송파구 신천동 장미아파트 건물 82.45㎡ 중41.22㎡,7.8,,,,
